Date,HV_BULL,HV_BEAR,LV_BEAR,LV_BULL
2011-05-24,0.0019551874281658285,2.023363248118298e-05,0.9980245494773797,2.946221287585241e-08
2011-05-25,0.8002909581155576,2.835468474644619e-05,0.1996806818042927,5.395157197420023e-09
2011-05-26,0.9958241577774567,2.636586041144351e-06,0.004173044284664525,1.613519291583756e-07
2011-05-27,0.9991981569899332,7.516663501027215e-08,0.0008015486284643325,2.1921495898903315e-07
2011-05-31,0.9966131835658674,1.704518323206385e-11,0.0033804416083212576,6.374808726691135e-06
2011-06-01,3.178658909995124e-05,1.4497324945055693e-10,0.9999681601542224,5.311208065896462e-08
2011-06-02,0.0031777047647799537,4.6213584440129134e-10,0.9968222947387239,3.406801436687806e-11
2011-06-03,5.922798045022774e-06,1.9843824219653635e-09,0.9999940751443306,7.282118442869894e-11
2011-06-06,1.7625681359614075e-07,4.746641781953167e-08,0.9999997762770613,1.039634768721373e-14
2011-06-07,0.0005413686464553585,3.7963332269429276e-08,0.9994585933902501,2.864773681655396e-14
2011-06-08,1.099252287426328e-05,3.8590721669109096e-07,0.9999886215065794,6.333159336656818e-11
2011-06-09,0.00948632025010603,6.639253723204746e-08,0.9905136133116618,4.5690031856741306e-11
2011-06-10,6.212748996184094e-06,8.722152045940747e-07,0.9999929133879131,1.6479951619580478e-09
2011-06-13,0.003279618969656529,2.8514307043496106e-05,0.9966918667201402,3.08765560744211e-12
2011-06-14,0.6742784804082179,7.99256188647175e-06,0.32571352620687494,8.22689953205301e-10
2011-06-15,0.024454898725968694,1.2943063674040927e-05,0.9755321352388998,2.297188209505383e-08
2011-06-16,0.3094368184087339,5.116511667079125e-05,0.6905120141728535,2.3013200144910364e-09
2011-06-17,0.6629094736918222,4.538569109042197e-05,0.33704513676232806,3.854727977696345e-09
2011-06-20,0.9842204790042611,1.0264039854613364e-05,0.01576925632332565,6.328255053696117e-10
2011-06-21,0.9998729292180089,2.896250403147427e-06,0.00012417446028119232,7.16236153682952e-11
2011-06-22,0.994692952577927,2.1911043992516407e-07,0.0053068279365220145,3.746744885536991e-10
2011-06-23,0.9975736908834655,1.4971281151095763e-07,0.002426157272893824,2.131201659252751e-09
2011-06-24,0.9686937933716885,1.5239509393116643e-07,0.03130604889245701,5.340463773413835e-09
2011-06-27,0.9982591352161165,6.696396083549826e-07,0.001740194661788251,4.824014891639737e-10
2011-06-28,0.9998417830595547,7.932799463542874e-08,0.0001581374481717404,1.6449194221808561e-10
2011-06-29,0.9993369921059972,3.3828111961965675e-09,0.0006629383915526097,6.611987179922117e-08
2011-06-30,0.9997163035620679,1.088268816260496e-08,0.00028366001886905614,2.553594603174985e-08
2011-07-01,0.999882258120984,1.5549280334778138e-08,0.00011769870166846592,2.762848152154808e-08
2011-07-05,0.9992512202635637,3.391742596013206e-09,0.0007482635373488648,5.128071446390764e-07
2011-07-06,0.9991983319191148,1.3190413560408483e-08,0.0008007935452973464,8.613453537652161e-07
2011-07-07,0.9991155657625069,2.5872261430515592e-08,0.0008614971323295363,2.291123293092217e-05
2011-07-08,0.7634807422299917,2.6442175971367232e-12,0.23593619271692537,0.0005830650506626788
2011-07-11,3.51456182975461e-05,3.295162444341658e-09,0.9999559276183055,8.923468288934594e-06
2011-07-12,0.0007703189474195689,1.7296072539855572e-06,0.9992279119980185,3.944760985381802e-08
2011-07-13,0.09248206573596435,1.6978399725643845e-08,0.907517504668976,4.1261691461683806e-07
2011-07-14,1.79269555521403e-05,2.038185345755645e-07,0.9999748598097244,7.009415903710731e-06
2011-07-15,0.027075960251388333,5.108681686694684e-07,0.9729223813446337,1.1475360598192764e-06
2011-07-18,0.00016216318106168905,9.40214642694598e-06,0.9998284041662223,3.0506625334076855e-08
2011-07-19,0.9664886797157382,1.619024729525992e-05,0.0334951298814748,1.5577283562413348e-10
2011-07-20,0.9672582234713949,1.4454828804967587e-06,0.032738785558883765,1.5454866662965106e-06
2011-07-21,0.9962578738939123,3.2567766932073215e-07,0.003737910226226227,3.890202495498588e-06
2011-07-22,0.9136234860427377,6.711097045754189e-10,0.08628670383899303,8.980944716145568e-05
2011-07-25,0.01975695138483939,8.263391703023712e-10,0.9801987784017756,4.426938715295249e-05
2011-07-26,0.0007185314265274829,2.5427832615556643e-09,0.9992808944590414,5.71571387422833e-07
2011-07-27,1.382858644510504e-10,1.2889100309421727e-07,0.999999870969995,9.630629122670269e-13
2011-07-28,8.503493835546381e-06,3.862275989200417e-06,0.9999876342299695,2.8216330662555754e-15
